text,labels,fuel_type,year
"DEN HAAG , 15 okt . Minister Andriessen ( Economische Zaken ) heeft gisteravond in de openbare vergadering van de vaste commissie voor Economische Zaken van de Tweede Kamer gezegd , dat een gecoördineerd energiebeleid het centrale punt is van zijn economisch beleid . Hij deelde dit mee op een vraag van het Tweede Kamerlid Jan Maenen , die vroeg of het de bedoeling is dat een dergelijk beleid alleen maar beperkt blijft tot een coördinatie van de drie energiedragers ( kolen , olie en aardgas ) in de Gasunie . In verband met de noodzaak een prognose te maken van de penetratie van het aardgas in de verschillende verbruikerssectoren , wees de heer Maenen op de urgentie van een gecoördineerd energiebeleid . Volgens de heer Maenen gebruikt altijd nog 70 procent van de gezinnen in ons land kolen voor verwarming . Het aardgas zal daarin niet onmiddellijk een wijziging brengen . Maar met het opstellen van een prognose over de penetratie van het aardgas in de komende jaren , zal tijdig rekening gehouden kunnen worden met gevolgen hiervan voor t transport en de handel van vaste brandstoffen . Ook daarom is naar de mening van deze afgevaardigde een gecoördineerd energiebeleid dringend noodzakelijk . Op diens vraag naar dc instelling van een Energieraad antwoordde minister Andriessen positief tegenover de instelling van een dergelijke raad te staan in de naaste toekomst . De komst van het aardgas zal vanzelfsprekend een verschuiving in het verbruik der verschillende energiedragers tot gevolg hebben . Maar , naar de mening van de bewindsman hebben prognoses uitgewezen , dat het verbruik van kolen ongeveer 15 miljoen ton jaarlijks constant zal blijven , al wordt het percentage op de totale energiebehoefte in ons land hoe langer hoe kleiner . Het aardgas zal wel tot gevolg hebben , dat de import van KSG-kolen hoe langer hoe geringer zal worden van resp . 4,3 miljoen ton in 1963 naar 3,6 in 1968 en naar 2,7 miljoen ton in 1975 . Hiertegenover staat echter een toenemende export van kolen naar andere KSG-landen van resp . 2,5 miljoen ton in 1968 naar 3 miljoen ton steenkool in 1975 . Minister Andriessien bracht dit naar voren naar a nileiding van enkele vragen van Tweede Kamerleden over het kolenverbruik bij de elketriciteiiscentrales . Zoals bekend , vormen de Duitse kalen voor deze oent.rales een probleem , omdat deze kolen duurder zijn dan de Amerikaanse kolen . Desondanks nemen de centrales jaarlijks nog een miljoen ton Duitse kolen af wegens een onderlinge afspraak in KSG-verband . Dit zou deze oentrales jaarlijks 10 tot 15 miljoen gulden extra kosten in vergelijking tot de Amerikaanse kolen . Waarom deze maatregel , zo vroegen enkele Kamerleden van de vaste commissie . Minister Andriessen zag in deze zaak ook een probleem , dat echter geldt voor een bepaalde overbruggimgs-ijd . Met het oog op een sterkere positie bij de onderhandelingen in de toekomst over export van kolen naar andere KSG-landen als gevolg van het aardgas , leek hem handhaving van deze maatregel overigens billijk . De bewindsman toonde zich echter bereid naar een bepaalde vorm van compensatie voor de elektrische oentrales te zoeken , bijvoorbeeld in de aa rdgasprijs .",1,gas,1960s
"Al komt men vooral ln de moderne flats seer veel keukengeisers tegen , er Ugt op het gebied van do warmwatervoorziening nog een breed perspectief voor de afzet van gas . Over het gehele land verbruikt meq in Nederland thans tweemaal soveel ga voor kookdoelelnden als voor de heetwatervoorzlenlng . Het veelvuldig baden Is een kwestie van welvaart en van beschaving . Het baden In ons land beperkt zich veelal nor tot de traditionele zaterdag . Maar . zo zeggen de deskundigen , op de hoeveelheid ras , die nodig is voor i één kuipbad , kun je 14 dagen koken voor een heel gezin ! En op bet gas voor één douchet ) ad ca. 8 dagen ! . Ook de ruimteverwarming biedt soortgelijke mogelijkheden . Eén flinke gaskachel verbruikt per uur evenveel gas als het gemiddelde daggebrulk van een gezin ( 1H 4 2 m3 I Ook zonder prijsverlagingen ls het gasgebrulk voor luxe-doeleinden toch al gestegen . In de grote steden wordt thans reeds voor 8 pet . van de ruimteverwarming van gas gebruik gemaakt . Bovendien hoopt men op een verschuiving van de verwarming met kolen naai ! gasverwarmlng . Men houdt daarbij rekening met de mogelijkheid dat.de huisbrand , kolen ln de toekomst steeds duur- der zullen worden , zodat het verschil met degasprUs steeds kleiner wordt . Thans , ls gasverwarmlng nog ca . 3 maal zo duur als kolenverwarming . De Jaarlijkse vernieuwing van kachels raamt men op ca . 7 pet . Men acht het niet - uitgesloten , dat ln toenemende mate versleten en verouderde kolenkachels door gaskachels zullen worden vervangen , Gasverwarmlng ls in vele opzichten asntrekkelijk . Een gaskachel kan direct worden ontstoken en uitgedaan . wanneer men geen verwarming meer nodig heeft , Gas geeft géén as en ook het slepen en de berging van kolen ( flats ) zullen tot het verleden behoren . Een belangrijk punt ook nog aardgas ls niet giftig !",2,gas,1960s
"Om de kolen uit de mijnen bij de verbruiker te brengen moet men nu nog een prijs betalen die meer dan tien keer zo hoog is als de kosten voor olie en aardgas Maar dat is geen reden om de aanwezige rijke kolenlagen te verbeten . Wat de olie en het aardgas voo.-al zo goedkoop mankt is de vluggere en minder kostbare transport . Juist door de steeds groter wordende tankers , en de aanJcg van pijpleidingen is ie energiemarkt vrij onverwacht overspoeld met olie . Uiteraard hebben ook -ie maatregelen van de olielanden , die zo vlug en.zö veel mogelijk van hun bodemrijkdom willen verkopen om de groei vay hun economie te versnellen , hiertoe bijgedragen . De kolenmijnen ln West-Duitsland houden zich nu bezig met de vraag op welke wijze zij deontginnings- en tranportkosten kunnen terugbrengen . Voor de oorlog werkte men al aan een procédé uit de kolen een vloeibare brandstof te winnen . De Hitlertijd maakte een einde aan de proefnemingen . De Verenigde Staten en Frankrijk gebruiken Intussen al vloeibare steenkool en ook in Duitsland hoopt men een rendabele methode te ontwikkelen . De Amerikanen en Fransen gebruiken het produkt al voor brandstof in straalvliegtuigen . 1",2,gas,1960s
"van ! 150 miljar m 3 150 miljoen ton steenkoleneenheden . , Terwijl men bij mijnzetels rekent , dat minstens 40 jaar moet kunnen worden geëxploiteerd de uit de Beatrix-mijn te winnen kolenhoeveelheid was daarom op jaarlijks ongeveer 1,8 miljoen ton gesteld rekent men by gas-voorraden dikwyis met kortere duur . Zo wordt thans aardgas telkens aangeboden voor een bepaalde hoeveelheid per jaar , bij een gecontracteerde duur van 20 Jaar . In het buitenland rekent men dikwijls met nog kortere duren . Het is natuurlijk belangrijk die gebruiksduur , in verband met de grote investeringen , nu het grote vondsten betreft , iets ruimer te nemen en 30 a 40 jaar zou geen overbodige weelde zijn . .- . Dat betekent , uitgaande van de reeds genoemde hoeveelheid van 150 miljoen steenkolentonnen",1,gas,1960s
"AU men , met de nieuwste druk van de voortreffelijke Mlchellnkaart ln de hand , van Pau naar Bayonne rijdt , kan men een grote verrassing beleven . Twintig kilometer ten westen van Pau zou , volgens de kaart , geen plaats van enige betekenis liggen . Maar hoe komt het dan , dat men plotseling een reeks fabrieksschoorstenen stalen torens en hoge witte gebouwen ziet , die op de aanwezigheid van een enorm Industrieel complex dulden ? Een fata morgana ln Zuid-Frankrijk ? Dat is al te fantastisch . Maar al ls het dan geen luchtspiegeling , de nuchtere werkelijkheid is zlnsbegoochelend genoeg . . ( Men neme de Mlchellnkaart en men plaatse op de Route Nationale 117 halfweg tussen Pau en Orthei een dikke punt , om er vervolgens het woori LACQ bij te schrijven . Want ln departement Neder-Pyreneeën is , sinds drie Jaar , Lacq een der belangrijkste plaatsen . Sterker nog Lacq mag men op het ogenblik , zonder overdrijving , een van de voornaamste industriecentra van heel Frankrijk noemen . Waar ln 1958 nog slechts enkele boeren hun land bewerkten , zijn nu bij dag en nacht , ln totaal twaalfhonderd mensen aan de arbeid , om de Franse economie te laten profiteren van de kostbare energiebron die men hier ln de bodem heeft ontdekt . 1 . Het begon ln 1949 met een olieboring van de Société Nationale des Pétroles dAquitalne , een maatschappij waarvan de meerderheid der aandelen ln handen van de Franse staat ls . Inderdaad werd te Lacq , op een diepte van 630 meter olie gevonden , en men heeft deze bron sindsdien geëxploiteerd . Maar al spoedig bleek , dat het geen bijzonder rijke bron was , en eind 1951 besloot men dieper te boren . Toen gebeurde er iets , waardoor het nog volkomen pnbekende oord Lacq plotseling ln het middelpunt van de nationale belangstelling kwam te staan . Op 3550 meter stuitte men op een kolossaal reservoir aardgas . De deskundigen berekenden , dat zich onder een gebied van vijftien bij zeven kilometer een hoeveelheid aardgas bevond van niet minder dan 280 miljard kubieke meter . Het waseen sensationele ontdekking , maar het bleek niet zo eenvoudig deze schitterende vondst ten volle te benutten .",2,gas,1960s
"De commissaris der koningin mr. Fock wees er in een nuchter gestelde rede op dat de aangetoonde hoeveelheid zo groot is dat het gas van internationale betekenis is . De getallen hadden de neiging met sprongen omhoog te gaan . Werd eerst van overheidswege gesDroken van ongeveer 60 miljard kubieke meter , thans mogen we aannemen dat het hier bij het zogenaamde Slochterengas gaat om een hoeveelheid van tenminste 500 miljard kubieke meter , terwijl intussen alweer hogere getallen zijn genoemd . Deze hoeveelheid van 500 miljard kubieke meter aardgas vertegenwoordigt ruwweg een energiewaarde van 500 miljoen ton steenkool-equivalent , aldus becijferde mr. Fock . Een zeer grote hoeveelheid als men bedenkt dat de Nederlandse produktie aan steenkool ongeveer 12,5 miljoen ton per jaar bedraagt . In de totale aardgasreserve van West-Europa van naar schatting 870 miljard kubieke meter in 1961 , vormt het Slochteren-gas op basis van de genoemde geschatte hoeveelheden aanzienlijk meer dan de helft . , Het Slochteren-gas echter is niet uitsluitend als een brandstof , maar ook als een grondstof te beschouwen . Hierbij is de samenstelling van het gas van betekenis . Het methaangehalte van dit gas is hoog , daarentegen komt er geen zwavel in voor het is derhalve als brandstof een schoon gas met een calorische waarde van ongeveer twee maal zo groot als het stadsgas . Als grondstof voor de bereiding van chemische produkten is het gas wellicht minder interessant dan men wel eens aanneemt , aldus mr. Fock . Zeker , het is wel boeiend uit de chemieleerboeken een uitgebreide opsomming samen te stellen van wat er uit aardgas langs scheikundige weg kan worden vervaardigd wanneer het economisch gezichtspunt in acht wordt genomen lijkt er maar een klein aantal interessante mogelijkheden over te blijven . Eén ervan is de reeds veelvuldig besproken ammoniakbereiding voor kunstmest .",2,gas,1960s
"De brief , waarmee Gedeputeerde Staten van Friesland zich tot de Eerste en Tweede Kamer hebben gewend , stelt terecht , dat voor Friesland die derde mogelijkheid voorop staat . Daar hoeft het niet bij te blijven , zo kan men daar aan toevoegen , want uit het Franse voorbeeld blijkt , dat men met een net van pijpleidingen ook de chemische en metallurgische industrieën op aanzienlijke afstanden van het wingebied kan bedienen . Dat is ondermeer in Toulouse het geval . Maar primair is voor Friesland inderdaad de aanwending van het Groningse aardgas ter vervanging van andere brandstoffen . Dat doet men in Frankrijk ook het aardgas uit de Pyreneeën gaat voor deze doeleinden naar verscheidene veraf gelegen industriegebieden . Wanneer men helemaal in België belangstelling heeft voor het Groningse aardgas , dan ligt een dergelijke belangstelling zoveel dichter bij huis nog meer in de rede .",2,gas,1960s
"( Van onze Haagse redactie ) i DEN HAAG , 15 nov. In de memorie van antwoord op het voorlopig verslag op de begroting van economische zaken . herhaalt minister Andriessen zijn reeds , eerder uitgesproken verwachting , dat het aardgas geen nadelige consequen- ties zal hebben voor de Limburgse mijnen . Wel zal het aardgas tot gevolg hebben dat de invoer van huisbrand- kolen sterk zal teruglopen en dat ook de vraag naar Nederlandse huisbrand- , kolen mogelijk zal afnemen . Wel zullen de kolen zich naar de mening van de bewindsman kunnen handhaven by de electrische centrales . Uit met deze een- trales te plegen overleg zou zelfs de mogelijkheid kunnen voortvloeien van een groter verbruik van Nederlandse kolen , zg het ten koste van importkolen . Minister Andriessen noemt dit in de memorie van antwoord van groot belang , omdat de vervanging van het cokesovengas in Brabant en in Limburg door aardgas mogelijk de koleninzet bij de cokesbedrijven van de Staatsmijnen zal doen teruglopen . Voorzover het aardgas in de industrie zal worden aangewend , zal bovendien de concurrentie positie , welke de industriekolen thans reeds van de olie ondervinden , worden geaccentueerd , aldus minister Andriessen . Verruiming van de plaatsingsmogelijkheid bij de electrische centrales zou hiervoor compensatie kunnen bieden . Daarnaast zal naar vergroting van de export moeten worden gestreefd , zo zegt minister Andriessen in de memorie van antwoord . Alles bijeen genomen zullen de consequenties van een geleidelijke inschakeling van het aardgas naar het oordeel van de bewindsman kunnen worden opgevangen , zonder dat de economische positie van de steenkolenindustrie in Limburg hiervan belangrijke schade ondervindt .",2,gas,1960s
"W % st ent Hilversum is de eer- in het dichtbevolkte en d.Ustrialiseerde westen van Kt e gehruik zal gaan maken Kl ( j ie aardgasvondsten bij JÏHïfc r-is in andere steden de llpi vt huizen nog langs gaan S of zij de gasstellen Jft ti zien , zullen de particu_Kj i ydustriële verbruikers in jta / Profiteren van de nieuwe ___riW6 ftoog of hoe laag dit Ijj lndelijk ook zal uitvallen . ïv n i Umse GEB dat in de It ! dri nS plannen had K , % ftSend noodzakelijke aantf s ? ? .nieuwe omvormer om en maken van Over ( JJB 6J ? s - wat 10 procent renles en al spoedig aanleg e leidingen ( om aan de h asbehoefte te voldoen ) ___H a 66 zou hrengen heeft il 0f ngedurfd toch maar infiv Ur aardgas te kiezen . , LCS Wf , B s i Hilversum Neder-s s skff edse aardgas-proef- IvV en tech- VVH gasbedrijven reizen W.l rtL ? roepen af en aan Ï ! S We hoogte te stellen van fv C 2aken daar- Want de VvW land wordt hope , CC . uil , Van de schade en schanjjversum , dat het eerste mbouwproject ontjij overschakelingsproces A ersum per sector enkele I nd Uitvoering ervan is ge- Wen van een particuliere el Wecnnisch bureau Keij- CS in verijssel ) die in ft chat , man heeft ingezet . KföNiiik ngswerk begint met ga is enquête . Een fitter gl-toestellen komforen , aarden - bekij- BK Ü elen dat kan worden s ofvoor aardgas , dat is te 1 VVi e zr versleten . De omV % ost6iJller tijd gratis gebeuV S , .Van de gemeente . XXS mi nie meer US e ker zelf voór de over Wv nieuw kopen . Hij ftet gasbedrijf als veri WfBo of f 10 afhan SSi nieuw gekochte fa- SSS 6 45 of f 60 , f2s u Per pit , maar ten KïvY Vei-o 3 deze opgave van spreekt , no , tittej . wie afgekeurde 1 isteii met een zegel ge en in huis heeft tC ? 6 iedere installateur H waan het gasbedrijf t. jJ_ nij een nieuw toe houdt het GEB de",1,gas,1960s
"Met betrekking tot de winningsvergunning zal bepaald moeten worden dat . indien in een vergunningsgebied een delf stof voorkomen is aangetroffen , dat zich voortzet in het vergunningsgebied van een ander , de minister de vergunninghouders kan verplichten tot gemeenschappelijke winning van die delfstoffen over te gaan . , Over een eventuele staatsdeelneming merkt de minister onder meer op , dat aan de exploratie op een beperkt gebied als het Nederlandse continentaal plat risico s verbonden zijn , die de oliemaatschappijen kunnen dragen doordat zij hun activiteiten ook over andere gebieden in de wereld spreiden . De staat mist echter bij deelneming in de exploratie en eventuele exploitatie op het Nederlandse continentaal plat die noodzakei lyke compensatiemogelijkheid . Een eventueel staatsbedrijf zou dus ook in andere gebieden moeten exploreren , waarmede zeer aanzienlijke investeringen gemoeid zijn . Bovendien beschikt de overheid niet over de noodzakelijke kennis en ervaring . Verder zijn aan de exploratie op zee veel hogere kosten verbonden dan aan die te land . mede door de grotere risico s van technische aard Waar de Nederlandse overheid zich in het verleden steeds heeft gedistancieerd van deelneming in de exploratie te land zou het niet verantwoord zijn te achten , deel te nemen in exploratie ter zee , Het kernprobleem bij het coueessiebeleid ligt volgens de minister niet in staatsdeelneming of niet-staatsdeelneming , maar bij de vraag hoe eensdeels de opsporings- en winningsactiviteiten kunnen worden bevorderd en hoe tegelijkertijd kan worden bevorderd dat de gemeenschap zo veel mogelijk kan delen in de opbrengst . Met voorbeelden uit Italië en Frankrijk toonde hij aan , dat staatsdeelneming wel eens onvoordelig voor de staat kan blijken te zijn wanneer men alle factoren in aanmerking neemt .",2,gas,1960s
