text,labels,fuel_type,year
"Het PEB heeft een contract tot levering van aardgas van de Gasunie, dat aan het eind van 1994 afloopt. De situatie is nu zo, dat er geen contracten voor de levering van gas meer aan centrales worden afgesloten, tenzij het gaat om speciale gevallen, zoals in het geval van speciale eenheden die als pieklasteenheden kunnen fungeren. Als dat in 1994 ook nog zo is, zal het PEB dan geen gascontract meer kunnen afsluiten. Nu is het gas in 1994 nog niet op. Men schat dat men tot 2005 toekan met het gas uit het Nederlandse deel van de Noordzee. Het hangt er helemaal van af, welke mogelijkheden dit Noordzeeplateau nog biedt. Ook is het mogelijk, dat er tegen die tijd gas uit het buitenland komt. Maar hoe dan ook, de mogelijkheid dat er tegen het einde van deze eeuw geen gas meer voor het PEB zal zijn, is reëel. Wat moet men dan? De centrale aan het Bergumermeer zou tot het jaar 2005 kunnen blijven draaien, voor hij versleten is. Er is natuurlijk altijd een kans, dat men nog weer een aardgascontract kan afsluiten, of dat er grote vondsten in de Noordzee worden gedaan, maar als dat niet zo is, moet men naar andere brandstof omzien, aldus de heren Wijnstra en Koelma.",2,gas,1970s
". Volgens uw draaiboeken verdubbelt het energieverbruik in Nederland binnen 25 jaar als we doorgaan zoals we nu leven: voortdurende groei. Steeds méér. Terwijl, het draaiboek voor een „tevreden"", samenleving nog f altijd een toeneming van het energieverbruik met 25 pet voorspelt tot het jaar 2000. Dat laatste stelt de crisis dus wat uit. Welk draaiboek heeft Shell! nu in gebruik? -. ■ . /""•'■... •• ■*■: '■- •;i. :yf-.:;i0 Gordqn: „Tot begin'van de jaren '80 zal het! groei-scenario, dus het BU-draaibóek, wel overheersen. S ! Maar ï .; naarmate we dichter bij de crisis komen, zullen wrijvingen en conflicten' toenemen. <•' Een mengsel van die twee draaiboeken ligt dus voor de hand."" .,'/.'■ :';';'■'«; •!''■ Hoe vertaal je wrijvingen en conflicten; in liters olie, tonnen steenkool of gas?.:""■■ '"",, 'Gordon: „Daarvoor hebben we in ., Rotterdam ■''■■ een . uitgebreid team van de meest uiteenlopende deskundigen. specialisten; sociologen; economen, ener-, gie-deskundigen. • Die' houden voortdurend de vinger aan i de pols van de verschillende - bedrijfstakken en markten; ook de verschillende stijlen van léven. De automarkt is een goed voorbeeld. Het gebruik van auto's. De tragere j vervanging van j auto's. Het overstappen; naar auto's die minder verbruiken. Gas of diesel in plaats van benzine. Dat wijst er op dat men meer gaat letten op kwaliteit, dan op kwantiteit, hoeveelheid. Niet direct minder gebruik, maar wel minder verbruik. Ook de oliecrisis van 1973 heeft gegevens opgeleverd. Maar natuurlijk blijven de cijfers in onze draaiboeken erg: oppervlakkig. Het;gaat meer om de rich-, ting van ■ een ontwikkeling / dan' om de juistheid van de cijfers.'.'; ■:' Zelfs met het draaiboek 'voor een „tevreden"" samenleving gaan we' op' een energiecrisis:: af"" bin-' nen tien a 15 jaar. Hoe ziet die er: uit voor het f dagelijks leven van de Nederlander? i Benzine. op de . bon? Gordijnen verplicht dicht? Nog maar één lamp per kamer? Gordon: „Het. zal eerder uit-. draaien op flinke prijsstijgingen dan op benzine-bohnen. Maar die zuilen vanzelfsprekend | gevolgen hebben voor het leven-van-allédag. Welke gevolgen j precies, isniet te: zeggen..| Mensen •; zullen j beter leren kiezend Dat kan ook veel helpen. is dat besparingen . onvermijdelijk zullen worden."" „De prijzen van energiesoorten die de taak van olie gedeeltelijk kunnen overnemen zullen zeker anderhalf tot twee keer | zo' hoog zijn. Zoals de! zaken;; nu staan zullen kolen de eerste '20 a 30 jaar het grootste aandeel in die vervanging leveren. De"" nul'.be-, kende kolenvoorraden in dé wereld zijn voldoende om de ener-; giebehoeften I tot j ver in de. volgende eeuw te kunnen dekken."" - . En kernenergie;' heeft; u nog niet eens genoemd. Wat praten we dan over een crisis?. ;, Gordph: „Auto's kun je niet op kolen laten rijden.. Duizend-eneén produkten ? kun ?■ je wel S uit olie, en niet uit kolen-': maken.'. Ook van kernenergie .1 kun,, je geen produkten maken; wel energie-centrales mee laten werken. De snel dichterbij komende schaarste zit 'm * voornamelijk in de technische beperkingen. van de ; verschillende ■ energievoorraden. Al zijn , we ■> met; kolen j op weg ""om.' die; beperkingen op te heffen. De technieken om gas maken-uit kolenJworden steeds beter. In: ons draaiboek voor „groei"" komt 'een steeds; groter deel van het gasverbruikuit de kolenproduktie. Ook kunnen we uit kolen . vloeibare brandstoffen maken:'Die kunnen in een later stadium de jj bestaande, vloeibare brandstoffen, zoals benzine, vervangen. .'.■':""':■'""■;.' ,;.'; Volgens die redenering dus alleen een kwestie van timing. Een te Iaat kiezen en omschakelen op andere energievormen? .';'■ Gordon: „Inderdaad. AI is het voor, een' flink deer nog niet: te :laat om die keuze te doen. We ! kunnen.'■<::. bijvoorbeeld ; ;, nieuwe electricteitscentrales bouwen die I op kolen werken. Dat vergt zes è .acht jaar. Maar; dan moeten wë wel snel beslissen. Dan' kun: je straks wat langer- doen met gas en olie voor dingen waar' kolen ongeschikt voor zijn."" : "" ' vr.|7; -■ \ Onze kolenmijnen gaan voorlopig niet meer open. Wij hebben alleen gas en een paar druppels Noordzee-olie.':., Dus '■ zijn; we steeds meer afhankelijk van het buitenland. ; J Gordon:. Het' invoeren van kolen ; is'. voorlopig veel;. goedkoper dan. het' opnieuw voor : gebruik klaarmaken van onze paar mijnen. In Noord-Amerika, Australië en Afrika „liggen .enorme . voorraden direct 'qnder de oppervlakte. Daar hoef je niet eens mijngangen te graven. > Maar inderdaad,' de verdeling van energie; tussen de verschillende landen, over. de wereld, en . de prijsontwikkelingen j die I daar aan vast zitten,', zullen' de dreigende crisis beinvloeden. .Als politici de keuzen doen die •moeten worden gedaan, en niet . de oliemaatschappij, zoals u zegt, . dan wekt, Shell met j zijn j draaiboeken de argwaan dat zij die politici. ónder, druk.' wil ■ zetten, wil, beinvloeden. Wie. controleert de juistheid van uw cijfers? Niemand toch? .'. > Gordon; V „We zijn' een maand of vier, vijf "" geleden . met onzedraaiboeken bij Economische Zaken geweest. Van. dat soort contacten gaat een wederzijdse, kennis ; overdracht; uit. Dat is onder meer ook de bedoeling. Teder, wil zijn visie r toch .naar .voren - bren-. Maar u controleert in feite de oliestroom,, niet - minister Lubbers. Die heeft : zelfs / al eens ronduit geklaagd dat de prijsvorming van oliemaatschappijen te ondoorzichtig voor hem was om daar een, vinger achter te krijgen. En waarom zoudt u uw cijfers. bij EZ op tafel leggen als u weet, dat uw concurrent Esso even later ook daar op visite is? Gordon; „Ik hou staande dat wij op EZ onze draaiboeken eerlijk j op tafel, leggen. Zelfs gedetailleerder dan in ; de! publiciteit komt."" Overigens, een draaiboek is niet meer dan een bepaalde visie pp een mogelijke ontwikkeling. We. hebben er drie gepresenteerd die onderling heel verschillend zijn. Wij hopen dat de overheid die het - energiebeleid bepaalt, bij het te voeren beleid rekening houdt met onze draaiboeken."".. ;;.;■' ,•-; .....;.,.-.ïvk""",1,gas,1970s
". Volgens uw draaiboeken verdubbelt het energieverbruik in Nederland binnen 25 jaar als we doorgaan zoals we nu leven: voortdurende groei. Steeds méér. Terwijl, het draaiboek voor een „tevreden"", samenleving nog f altijd een toeneming van het energieverbruik met 25 pet voorspelt tot het jaar 2000. Dat laatste stelt de crisis dus wat uit. Welk draaiboek heeft Shell! nu in gebruik? -. ■ . /""•'■... •• ■*■: '■- •;i. :yf-.:;i0 Gordqn: „Tot begin'van de jaren '80 zal het! groei-scenario, dus het BU-draaibóek, wel overheersen. S ! Maar ï .; naarmate we dichter bij de crisis komen, zullen wrijvingen en conflicten' toenemen. <•' Een mengsel van die twee draaiboeken ligt dus voor de hand."" .,'/.'■ :';';'■'«; •!''■ Hoe vertaal je wrijvingen en conflicten; in liters olie, tonnen steenkool of gas?.:""■■ '"",, 'Gordon: „Daarvoor hebben we in ., Rotterdam ■''■■ een . uitgebreid team van de meest uiteenlopende deskundigen. specialisten; sociologen; economen, ener-, gie-deskundigen. • Die' houden voortdurend de vinger aan i de pols van de verschillende - bedrijfstakken en markten; ook de verschillende stijlen van léven. De automarkt is een goed voorbeeld. Het gebruik van auto's. De tragere j vervanging van j auto's. Het overstappen; naar auto's die minder verbruiken. Gas of diesel in plaats van benzine. Dat wijst er op dat men meer gaat letten op kwaliteit, dan op kwantiteit, hoeveelheid. Niet direct minder gebruik, maar wel minder verbruik. Ook de oliecrisis van 1973 heeft gegevens opgeleverd. Maar natuurlijk blijven de cijfers in onze draaiboeken erg: oppervlakkig. Het;gaat meer om de rich-, ting van ■ een ontwikkeling / dan' om de juistheid van de cijfers.'.'; ■:' Zelfs met het draaiboek 'voor een „tevreden"" samenleving gaan we' op' een energiecrisis:: af"" bin-' nen tien a 15 jaar. Hoe ziet die er: uit voor het f dagelijks leven van de Nederlander? i Benzine. op de . bon? Gordijnen verplicht dicht? Nog maar één lamp per kamer? Gordon: „Het. zal eerder uit-. draaien op flinke prijsstijgingen dan op benzine-bohnen. Maar die zuilen vanzelfsprekend | gevolgen hebben voor het leven-van-allédag. Welke gevolgen j precies, isniet te: zeggen..| Mensen •; zullen j beter leren kiezend Dat kan ook veel helpen. is dat besparingen . onvermijdelijk zullen worden."" „De prijzen van energiesoorten die de taak van olie gedeeltelijk kunnen overnemen zullen zeker anderhalf tot twee keer | zo' hoog zijn. Zoals de! zaken;; nu staan zullen kolen de eerste '20 a 30 jaar het grootste aandeel in die vervanging leveren. De"" nul'.be-, kende kolenvoorraden in dé wereld zijn voldoende om de ener-; giebehoeften I tot j ver in de. volgende eeuw te kunnen dekken."" - . En kernenergie;' heeft; u nog niet eens genoemd. Wat praten we dan over een crisis?. ;, Gordph: „Auto's kun je niet op kolen laten rijden.. Duizend-eneén produkten ? kun ?■ je wel S uit olie, en niet uit kolen-': maken.'. Ook van kernenergie .1 kun,, je geen produkten maken; wel energie-centrales mee laten werken. De snel dichterbij komende schaarste zit 'm * voornamelijk in de technische beperkingen. van de ; verschillende ■ energievoorraden. Al zijn , we ■> met; kolen j op weg ""om.' die; beperkingen op te heffen. De technieken om gas maken-uit kolenJworden steeds beter. In: ons draaiboek voor „groei"" komt 'een steeds; groter deel van het gasverbruikuit de kolenproduktie. Ook kunnen we uit kolen . vloeibare brandstoffen maken:'Die kunnen in een later stadium de jj bestaande, vloeibare brandstoffen, zoals benzine, vervangen. .'.■':""':■'""■;.' ,;.'; Volgens die redenering dus alleen een kwestie van timing. Een te Iaat kiezen en omschakelen op andere energievormen? .';'■ Gordon: „Inderdaad. AI is het voor, een' flink deer nog niet: te :laat om die keuze te doen. We ! kunnen.'■<::. bijvoorbeeld ; ;, nieuwe electricteitscentrales bouwen die I op kolen werken. Dat vergt zes è .acht jaar. Maar; dan moeten wë wel snel beslissen. Dan' kun: je straks wat langer- doen met gas en olie voor dingen waar' kolen ongeschikt voor zijn."" : "" ' vr.|7; -■ \ Onze kolenmijnen gaan voorlopig niet meer open. Wij hebben alleen gas en een paar druppels Noordzee-olie.':., Dus '■ zijn; we steeds meer afhankelijk van het buitenland. ; J Gordon:. Het' invoeren van kolen ; is'. voorlopig veel;. goedkoper dan. het' opnieuw voor : gebruik klaarmaken van onze paar mijnen. In Noord-Amerika, Australië en Afrika „liggen .enorme . voorraden direct 'qnder de oppervlakte. Daar hoef je niet eens mijngangen te graven. > Maar inderdaad,' de verdeling van energie; tussen de verschillende landen, over. de wereld, en . de prijsontwikkelingen j die I daar aan vast zitten,', zullen' de dreigende crisis beinvloeden. .Als politici de keuzen doen die •moeten worden gedaan, en niet . de oliemaatschappij, zoals u zegt, . dan wekt, Shell met j zijn j draaiboeken de argwaan dat zij die politici. ónder, druk.' wil ■ zetten, wil, beinvloeden. Wie. controleert de juistheid van uw cijfers? Niemand toch? .'. > Gordon; V „We zijn' een maand of vier, vijf "" geleden . met onzedraaiboeken bij Economische Zaken geweest. Van. dat soort contacten gaat een wederzijdse, kennis ; overdracht; uit. Dat is onder meer ook de bedoeling. Teder, wil zijn visie r toch .naar .voren - bren-. Maar u controleert in feite de oliestroom,, niet - minister Lubbers. Die heeft : zelfs / al eens ronduit geklaagd dat de prijsvorming van oliemaatschappijen te ondoorzichtig voor hem was om daar een, vinger achter te krijgen. En waarom zoudt u uw cijfers. bij EZ op tafel leggen als u weet, dat uw concurrent Esso even later ook daar op visite is? Gordon; „Ik hou staande dat wij op EZ onze draaiboeken eerlijk j op tafel, leggen. Zelfs gedetailleerder dan in ; de! publiciteit komt."" Overigens, een draaiboek is niet meer dan een bepaalde visie pp een mogelijke ontwikkeling. We. hebben er drie gepresenteerd die onderling heel verschillend zijn. Wij hopen dat de overheid die het - energiebeleid bepaalt, bij het te voeren beleid rekening houdt met onze draaiboeken."".. ;;.;■' ,•-; .....;.,.-.ïvk""",1,gas,1970s
"Zelfs de al zo goed als verloren beschouwde NDSMwerf in Amsterdam kan volgens hem weer opbloeien. Verolme: „Ik wil per jaar vier mammoet-gastankers volgens mijn ontwerp in ons land laten bouwen. Twee bij de RSV in Rozenburg en twee bij de NDSM"". Die tankers van zo'n 500.000 m 3 gas elk zijn straks volgens hem hard nodig, wanneer de regering ingaat op d£ plannen van de nog steeds uiterst actieve scheepsbouwer en besluit om grote hoeveelheden aardgas in het buitenland aan te kopen. „De vier miljard kubieke meter aardgas, die Nederland vanaf 1984 gaat afnemen van Algerije is maar een schijntje. Wat mij betreft kopen we tien keer zoveel"", vertelde Cor Verolme. „De voorraad in Slochteren kunnen we dan voor slechtere tijden bewaren en het in te voeren aardgas gebruiken en exporteren we"". Verolme laat er geen twijfel over bestaan, dat uitgerekend hij Nederland nog een laatste kans wil bieden. „Worden mijn plannen hier niet snel gerealiseerd, dan stop ik er in Nederland mee. Dan zet ik mijn project voort in het buitenland, waar ze mij met open armen zullen ontvangen"", zei hij gisteren op een persconferentie. De buitenlandse concurrentie zit volgens hem allerminst te slapen. „In het Franse St. Nazaire bestaan al vergevorderde plannen voor de bouw van een gigantische LNG-terminal met het doel vandaaruit heel Europa van aardgas te voorzien. Daarom moeten we snel beslissen en Rotterdam als vestigingsplaats voor een dergelijk overlaadstation aanwijzen. Zo niet, dan missen we letterlijk en figuurlijk de boot"". Verolme rekent de Staat voor, dat met de bouw van een doorsnee gastanker met een inhoud van 330.000 m 3 in totaal ongeveer 4500 manjaren gemoeid zijn. Uitgaande van vier mammoettankers per jaar betekent dit dus 18000 manjaren.Bovendien kan men met de bouw van een terminal en een installatie voor vloeibaar gas in Rotterdam rekenen op nog eens zo'n 8000 manjaren extra. In zijn plannen past Cor Verolme een uitgebreide spreiding toe van de werkgelegenheid. „Het haventje van Delfzijl is veel te klein voor het ontvangen van dergelijke mammoetschepen. Die moeten dan ook maar gebouwd worden in Rotterdam en Amsterdam. Voor Delfzijl zie ik echter andere mogelijkheden, want daar kan ik een fabriek neerzetten, die aluminium gascontainers gaat vervaardigen"". Een dergelijke fabriek zou werk aan 2000 man per jaar verschaffen. „Dat komt dan goed uit, want ik < heb vernomen dat ze daar toch nog tweeduizend huizen ' leeg hebben staan"", aldus de bejaarde scheepsbouwer. Volgens Verolme zal de Gasunie voor onze nationale scheepsbouw. „In de komende Jarcjn zal blijken dat onze scheept' bouwcapaciteit niet te groot is. Behalve onze behoeft* ln Europees verband is een name te verwachten van buitenlandse opdrachten* voor gastankers. Met name met de Verenigde Staten en, Japan ben ik in een vorderd stadium van onder); handeling"". De plannen; voor de bouw van mam-j' moetgastankers van V*roï-{; me zijn niet nieuw. Die lan-*' ceerde hij drie jaar terug op' zijn 75e verjaardag na een! bezoek aan de sjah van Per-' zië. Sinds die tijd trekt Corj; Verolme regelmatig aan dej; bel bij de overheid om een'; willig oor voor zijn ont-!; werpen te vinden. Nu echter!; koppelt hij de bouw ...van!! „zijn"" mammoetschepen j| aan de immense economi-j sche problemen van dit mo-j ment in de scheepsbouw. j ' binnen drie & vier maanden orders plaatsen voor de bouw van twee gastankers volgens rijn ontwerp. Die twee schepen, die elk 125.000 m 3 gas kunnen vervoeren, zijn bestemd voor het al aangekochte gas uit Algerije. Een woordvoerder van de Gasunie sprak dit echter desgevraagd tegen. / De toch door een zekere rancune jegens de Staat gedreven man ziet ondanks alles grote mogelijkheden",2,gas,1970s
"Hoelang we nog met de bestaande voorraden fossiele brandstoffen (olie, kolen, aardgas) toekunnen hangt in belangrijke mate af van de stijging van het energieverbruik. Vast staat in ieder geval dat deze stijging minder groot zal zijn dan nog tot voor enkele jaren werd beweerd. Daarbij komt dat ook de cijfers over de aanwezige reserves aan voortdurende wijziging onderhevig zijn. In de eerste plaats hebben zowel de olieproducerende landen als de oliemaatschappijen er met het oog op de prijzen baat bij een zekere schaarste te suggereren. Bovendien worden lang niet alle ontdekte olie- en gasvelden in exploitatie genomen omdat deze hetzij economisch niet interessant (lees winstgevend) zouden zijn of technisch moeilijk te exploiteren vanwege bijvoorbeeld ligging. Zowel de exploratieals het rendement van olie- en gasvelden hangen uiteraard af van de investeringen die de ondernermers bereid zijn te doen. Even vanzelfsprekend is dat deze investeringen pas gedaan zullen worden als de „schaarste"" — dus de hoogte van de prijzen — de exploitatie van deze velden voor de oliemaatschappijen interessant maakt. Ook al zouden geen nieuwe reserves meer worden ontdekt — wat niet waarschijnlijk is — dan nog kan de opbrengst van bestaande oliebronnen aanzienlijk opgevoerd worden door toepassing van nieuwe winningstechnieken. Een verhoging van de zogenaamde onttrekkingsgraad met eén procent betekent een produktiestijging van naar schatting drie miljard ton olie, welke hoeveelheid bijna gelijk is aan het wereld-jaarverbruik op dit moment. Recentelijk is ook de mogelijkheid geopperd van olie- en gaswinning in de oceanen. Tot nu toe beperkt de winning zich tot de relatief ondiepe zeegebieden zoals het continentaal plat in Noordwest-Europa. Overwogen wordt echter een begin te maken met de exploratie in water van 300 tot 2000 meter diep.",1,gas,1970s
"Ook de Joegoslaven en de Roemenen ■ zijn overal aan het werk. Een probleem met het werk In Koeweit schijnt het feit te zijn, dat de Arabieren allemaal met vastgelegde prijzen werken. Er wordt geen inflatie-aanpassing of grondstoffenverhoging toegestaan. Daarom kunnen de winsten vaak sterktegenvallen. „Daar hebben de Joegoslaven twee miljoen dollar op verloren"", lacht mijn gids, terwijl wij langs een schitterend bungalowpark rijden, dat gratis ter beschikking staat van Koeweiti's met een beperkt inkomen. Maar inflatieverliezeo worden door- Oosteuroftese c taats bedrijven anders opgevangen' dan door Westerse particuliere bedrijven./ Hun doelstellingen liggen nu eenmaal anders. > ' S. Shawa laat mij de onuitputtelijke olievelden van Koeweit zien. Het is olie van hoge kwaliteit, die door gas- of waterdruk zo maar omhoog borrelt In' de >' grotej reservoirs. Die,, | reservoirs liggen op enige hoogte, codat de tanks P door een kraan open te zetten weer leegvloeien in de reuzenschepen voor de kust. De goedkoopste winning ter wereld. Het gas dat de olie omhoog perst werd vroeger gewoon de lucht ingeblazen en opgebrand. Dat doet men nu niet meer.'Het gas wordt opgevangen en weer gebruikt om bijvoorbeeld zout water zoet te maken of voor industriële produktie. De opvangcapaciteit voor gas is op het ogenblik toch nog te gering. Bijna veertig procent van net gas gaat gewoon verloren «en overal ziet men de grote vuren branden, die het gas onschadelijk maken, na dat het zijn werk als stuwkracht voor de olie heeft gedaan. Superintendent KHALID AL-MISHRI van de petrochemische. industrie, waar met bet gas wordt gewerkt, zegt mij: „Het gas dat in een fabriek tot industriële grondstof wordt verwerkt, brengt het twintigvoudige op. Terwijl de investeringen niet al te groot zijn"". Khalid is Koeweiti. Weet ' veel over Nederland, vraagt of ik gecensureerd word. Of ik opdracht heb over bepaalde Palestijnse 'zaken niet te schrijven en of het mogelijjk is in Nederland een krant op te richten. Als Koeweit met zijn olieproduktie op dezelfde voet doorgaat als vandaag, kan het nog minstens tachtig jaar met de voorra,*vi toe. Dan is er heel wat geld uit de hele wereld naar het vorstendom aan de Golf toegevloeid. Hoe zal Koeweit er dan uitzien?",2,gas,1970s
DUSSELDORF — Tegen het jaar 2000 zal gas in ongeveer dertig procent van de energiebehoefte van de industrielanden voorzien; aangezien de aardgasreserves daarvoor niet groot genoeg zijn zal steeds meer gas uit kolen moeten worden gewonnen. Deskundigen van de Verenigde Naties op het gebied van de energievoorziening hebben dit verklaard in de vierdaagse conferentie over kolen die de Economische Commissie voor Europa (ECE) van de Verenigde Naties deze week in Dusseldorp heeft gehouden. Zij verwachten dat de kernenergie tegen het einde van de eeuw in ongeveer de helft van het energieverbruik zal voorzien. Voor de overige twintig procent zullen kolen en olie moeten zorgen.,1,gas,1970s
"Als we niet met man en macht proberen om alternatieve energiebronnen op te sporen zullen we straks onszelf moeten verbranden als we onze kinderen nog een beetje warmte willen geven. Een wrang grapje, maar een met een zo dodelijke kern van waarheid, dat we er de ogen niet voor mogen sluiten. De wereld springt volgens de deskundigen namelijk zo slordig om met haar energie, dat we met elkaar regelrecht de afgrond dreigen in te hollen. De Club van Rome, een internationale groep van geleerden die zich bezighoudt met onze toekomst, windt er in haar nieuwste raport geen doekjes om: „Het aftellen voor de energiecrisis is begonnen."" Als de industrielanden zich op vrijwillige basis geen opofferingen willen getroosten en als technische vernieuwingen uitblijven, staat volgens voorzitter Peccei van de Club van Rome de wereld een ramp te wachten die niet onderdoet voor een kernoorlog. De bezorgdheid van de Club is terecht. Willen we een catastrofe voorkomen, dan zullen aanvaardbare alternatieven moeten worden gevonden voor de huidige energievoorziening. Dat die er zullen komen, daaraan hoeft niet te worden getwijfeld, maar de vraag is of we er op tijd mee zullen zijn. De Workshop on Alternative Energy Strategies, waarin 35 deskundigen uit bedrijfsleven, overheid en wetenschap zitten uit 15 landen, kwam onlangs tot de volgende conclusies: „Het einde van het tijdperk van de groei in de olieproduktie is waarschijnlijk hoogstens slechts vijftien jaar van ons verwijderd. Voor de nietcommunistische wereld mag zelfs worden aangenomen, dat deze al in 1981—1983 met een olietekort te maken krijgt."" Ook de Organisatie van Economische Samenwerking en Ontwikkeling (de OESO) gaat er vanuit dat gerekend moet worden op een olietekort in 1985, mogelijk zelfs eerder als de olieproducerende landen, die verenigd zijn in de OPEC, hun produktie gaan limiteren. De kans daarop is niet denkbeeldig. De OPEC-landen hebben al gezegd hun export te zullen beperken als ze niet een groter aandeel krijgen in de raffïnage en de verwerking van olie. Ze hebben samen 84 procent van de olieproduktie in handen, maar bekijken we hun aandeel in de petrochemische industrie, dan is dat niet hoger dan 3,2 procent. Toegeven aan dit verlangen betekent dat de petrochemische industrie in de westerse wereld grandioze klappen krijgt. Overigens kunnen we nog wel even vooruit. Het aardgas is nog lang niet op en er zit zoveel steenkool onder de grond, dat we daar nog voor vele jaren genoeg aan kunnen hebben. Het beroerde is alleen, dat de technische ontwikkelingen om steenkool op grote schaal te winnen en te gebruiken geen gelijke tred gehouden hebben met de gestegen behoefte. Er is blijkbaar een oorlog voor nodig, om de politici zover te krijgen, dat ze er elke geleerde aan zetten die maar te vinden is. Mogen we de Club van Rome geloven, dan is de crisissituatie waar we voor staan met oorlog vergelijkbaar. Misschien helpt dat. Verder zijn er natuurlijk de zon, de wind en het water, die mogelijk mee kunnen helpen om de dreigende energiecrisis te voorkomen. De snelste oplossing biedt de kernenergie, maar de gevaren die daaraan kleven zijn zo groot, dat de wereld in feite nog altijd niet voor kernenergie heeft durven kiezen. Toch zal het er van moeten komen, want veel tijd hebben we niet meer. De Club van Rome spreekt, wat dat betreft, duidelijke taal. B",2,gas,1970s
"Het zo bereide kolengas heeft verschillende toepassingsmogelijkheden, waarvan we hier enkele willen noemen. De eerste mogelijkheid is het bijmengen bij aardgas. Het Groningse aardgas heeft een verbrandingswaarde van ongeveer 35000 kiloJoules (kJ) per kubieke meter (m3). De Nederlandse gastoestellen zijn op het gebruik van dit aardgas afgestemd. Wij gaan echter steeds meer aardgas uit de Noordzee gebruiken en vanaf 1984 komt daar nog gas uit Algerije bij. Deze gassoorten hebben echter een veel hogere verbrandingswaarde dan ons gas. Om nu een (tweede) algemene ombouw van de gastoestellen te voorkomen, wil men de verbrandingswaarde van het dan te gebruiken gas kunstmatig verlagen door het gas te mengen met kolengas met een calorische waarde van 8400 kJ/m3. We noemen de verschillende soorten aardgas, ook het Nederlandse gas, hoogcalorisch en kolengas: laagcalorisch. Het zal duidelijk zijn dat dit maar een tijdelijke oplossing kan zijn. De situatie wordt geheel anders wanneer wij voornamelijk steenkoolgas tot onze beschikking hebben voor onze gasvoorziening. We kunnen dan het kolengas, zoals het uit de vergasser komt, niet meer gebruiken. Het bevat te weinig energie, en het gebruik ervan zou het aantal gevallen van kolendampvergiftigingen sterk doen toenemen.",2,gas,1970s
"De stijging van het gebruik van aardgas bij grotere koude is groot. Tijdens een normale winter, een winter die aan de zachte kant is zoals de laatste jaren het geval is geweest, stuurt de Gasunie op uurbasis 7,5 miljoen kubieke meter aardgas uit. Bij een koude winter, zoals in 1970, wordt dat gebruik 25 miljoen kubieke meter en bij een erg strenge winter zelfs 75 miljoen. De Gasunie: „Uiteraard zijn we voldoende toegerust om nu aan de vraag te kunnen voidoen. Voor koudere tijden hebben we ons bovendien van een kostbare verzekeringspremie voorzien in de vorm van een opslaginstallatie voor vloeibaar aardgas in de Maasvlakte. In de zomermaanden pompen we er aardgas naar toe, het wordt er verdampt en vloeibaar gemaakt. In een koude winter zullen we van die voorraad gebruik maken"".",2,gas,1970s
