text,labels,fuel_type,year
"DEN HAAG , 15 okt . Minister Andriessen ( Economische Zaken ) heeft gisteravond in de openbare vergadering van de vaste commissie voor Economische Zaken van de Tweede Kamer gezegd , dat een gecoördineerd energiebeleid het centrale punt is van zijn economisch beleid . Hij deelde dit mee op een vraag van het Tweede Kamerlid Jan Maenen , die vroeg of het de bedoeling is dat een dergelijk beleid alleen maar beperkt blijft tot een coördinatie van de drie energiedragers ( kolen , olie en aardgas ) in de Gasunie . In verband met de noodzaak een prognose te maken van de penetratie van het aardgas in de verschillende verbruikerssectoren , wees de heer Maenen op de urgentie van een gecoördineerd energiebeleid . Volgens de heer Maenen gebruikt altijd nog 70 procent van de gezinnen in ons land kolen voor verwarming . Het aardgas zal daarin niet onmiddellijk een wijziging brengen . Maar met het opstellen van een prognose over de penetratie van het aardgas in de komende jaren , zal tijdig rekening gehouden kunnen worden met gevolgen hiervan voor t transport en de handel van vaste brandstoffen . Ook daarom is naar de mening van deze afgevaardigde een gecoördineerd energiebeleid dringend noodzakelijk . Op diens vraag naar dc instelling van een Energieraad antwoordde minister Andriessen positief tegenover de instelling van een dergelijke raad te staan in de naaste toekomst . De komst van het aardgas zal vanzelfsprekend een verschuiving in het verbruik der verschillende energiedragers tot gevolg hebben . Maar , naar de mening van de bewindsman hebben prognoses uitgewezen , dat het verbruik van kolen ongeveer 15 miljoen ton jaarlijks constant zal blijven , al wordt het percentage op de totale energiebehoefte in ons land hoe langer hoe kleiner . Het aardgas zal wel tot gevolg hebben , dat de import van KSG-kolen hoe langer hoe geringer zal worden van resp . 4,3 miljoen ton in 1963 naar 3,6 in 1968 en naar 2,7 miljoen ton in 1975 . Hiertegenover staat echter een toenemende export van kolen naar andere KSG-landen van resp . 2,5 miljoen ton in 1968 naar 3 miljoen ton steenkool in 1975 . Minister Andriessien bracht dit naar voren naar a nileiding van enkele vragen van Tweede Kamerleden over het kolenverbruik bij de elketriciteiiscentrales . Zoals bekend , vormen de Duitse kalen voor deze oent.rales een probleem , omdat deze kolen duurder zijn dan de Amerikaanse kolen . Desondanks nemen de centrales jaarlijks nog een miljoen ton Duitse kolen af wegens een onderlinge afspraak in KSG-verband . Dit zou deze oentrales jaarlijks 10 tot 15 miljoen gulden extra kosten in vergelijking tot de Amerikaanse kolen . Waarom deze maatregel , zo vroegen enkele Kamerleden van de vaste commissie . Minister Andriessen zag in deze zaak ook een probleem , dat echter geldt voor een bepaalde overbruggimgs-ijd . Met het oog op een sterkere positie bij de onderhandelingen in de toekomst over export van kolen naar andere KSG-landen als gevolg van het aardgas , leek hem handhaving van deze maatregel overigens billijk . De bewindsman toonde zich echter bereid naar een bepaalde vorm van compensatie voor de elektrische oentrales te zoeken , bijvoorbeeld in de aa rdgasprijs .",2,coal,1960s
"Om de kolen uit de mijnen bij de verbruiker te brengen moet men nu nog een prijs betalen die meer dan tien keer zo hoog is als de kosten voor olie en aardgas Maar dat is geen reden om de aanwezige rijke kolenlagen te verbeten . Wat de olie en het aardgas voo.-al zo goedkoop mankt is de vluggere en minder kostbare transport . Juist door de steeds groter wordende tankers , en de aanJcg van pijpleidingen is ie energiemarkt vrij onverwacht overspoeld met olie . Uiteraard hebben ook -ie maatregelen van de olielanden , die zo vlug en.zö veel mogelijk van hun bodemrijkdom willen verkopen om de groei vay hun economie te versnellen , hiertoe bijgedragen . De kolenmijnen ln West-Duitsland houden zich nu bezig met de vraag op welke wijze zij deontginnings- en tranportkosten kunnen terugbrengen . Voor de oorlog werkte men al aan een procédé uit de kolen een vloeibare brandstof te winnen . De Hitlertijd maakte een einde aan de proefnemingen . De Verenigde Staten en Frankrijk gebruiken Intussen al vloeibare steenkool en ook in Duitsland hoopt men een rendabele methode te ontwikkelen . De Amerikanen en Fransen gebruiken het produkt al voor brandstof in straalvliegtuigen . 1",2,coal,1960s
"kolen willen de centrales niet. Olie is ten slotte een produkt dat grotendeels van overzee moet worden aangevoerd , zodat zich stagnaties kunnen . voordoen . Men wil , om de stroomvoorziening altijd - veilig te kunnen stellen , de beschikking houden over een zekere hoeveelheid kolen . Maar met de aanpak van Economische Zaken zijn de centrales allerminst gelukkig.- .. Dat de olieprijs nog verder omlaag zal gaan , is niet te verwachten , dat de kolenprijzen . verder op zullen lopen , is veel waarschijnlijker en dat de centrales nog meer kolen zullen moeten afnemen , is wel zeker . - -. MMttAlW Kort voor zijn heengaan had minister Andriessen al aangekondigd , dat de centrales de komende jaren moeten rekenen op levering van zeker 2,5 miljoen ton Nederlandse kolen . . I . De cokesproduktie van de Maurits wordt gestaakt en daardoor komen nog meer industriekolen beschikbaar waar geen grote afnemers voor te vinden zijn . De centrales zijn wel grote afnemers , en bovendien kan de - minister ze afdoende onder druk zetten door geen invoer- , vergunningen af te geven voor Engelse en Amerikaanse kolen . Ook Hoogovens komt . voor een , dergelijke i procedure in aanmer king , maar daar is het nadeel aan . verbonden , dat . hoge kolenprijzen , direct een nadelige invloed hebf ben op de staalprijs. Elektriciteit is het meest massale massa-artikel 1 dat men zich kan denken en daarbij is de druk op de prijs niet zo voelbaar . Het is een logisch betoog , maar de centrales zijn er.niet door gecharmeerd . Hun standpunt is Wij willen de Nederlandse mijnen best helpen . Wij zijn zeker wel gevoelig voor het argument , dat de Limburgse mijnen uit de moeilijkheden geholpen moeten worden , omdat met het bestaan van de mijnen de hele economie van Zuid-Limburg is gemsWssmmÊBmS- ..... 1",2,coal,1960s
"( Van onze Haagse redactie ) i DEN HAAG , 15 nov. In de memorie van antwoord op het voorlopig verslag op de begroting van economische zaken . herhaalt minister Andriessen zijn reeds , eerder uitgesproken verwachting , dat het aardgas geen nadelige consequen- ties zal hebben voor de Limburgse mijnen . Wel zal het aardgas tot gevolg hebben dat de invoer van huisbrand- kolen sterk zal teruglopen en dat ook de vraag naar Nederlandse huisbrand- , kolen mogelijk zal afnemen . Wel zullen de kolen zich naar de mening van de bewindsman kunnen handhaven by de electrische centrales . Uit met deze een- trales te plegen overleg zou zelfs de mogelijkheid kunnen voortvloeien van een groter verbruik van Nederlandse kolen , zg het ten koste van importkolen . Minister Andriessen noemt dit in de memorie van antwoord van groot belang , omdat de vervanging van het cokesovengas in Brabant en in Limburg door aardgas mogelijk de koleninzet bij de cokesbedrijven van de Staatsmijnen zal doen teruglopen . Voorzover het aardgas in de industrie zal worden aangewend , zal bovendien de concurrentie positie , welke de industriekolen thans reeds van de olie ondervinden , worden geaccentueerd , aldus minister Andriessen . Verruiming van de plaatsingsmogelijkheid bij de electrische centrales zou hiervoor compensatie kunnen bieden . Daarnaast zal naar vergroting van de export moeten worden gestreefd , zo zegt minister Andriessen in de memorie van antwoord . Alles bijeen genomen zullen de consequenties van een geleidelijke inschakeling van het aardgas naar het oordeel van de bewindsman kunnen worden opgevangen , zonder dat de economische positie van de steenkolenindustrie in Limburg hiervan belangrijke schade ondervindt .",2,coal,1960s
"Dit en andere argumenten overwegend komt de studiecommissie tot de volgende conclusie wanneer men rekening houdt met alle op het ogenblik beschikbare gegevens , dan komt iaën tot de slotsom dat de overvloed , die thans de wereld-energle-markt kenmerkt , niet duurzaam kan zijn dat derhalve dc lage prijzen op dc markt niet gehandhaafd zullen worden dat , ten overvloede wanneer men dc evolutie op langere termijn wil zien , dc olie-industrie niet in staat is om dc stijgingen in dc energiebehoeften op te vangen , hetgeen zij op het ogenblik nog wel kan dat derhalve , gezien ook dc onzekerheid over dc perspectieven van dc atoomenergie , die nog wel enkele jaren zal aanhouden , het onontkoombaar is thans dc voorbereidingen te treffen , dis dc t .- in staat moet stellen , ook van zijn kant , te voldoen aan dc hoge toekomstige vraag naar energie . Dc rol van een energiebeleid is niet uitsluitend thans in een zekere mate dc markt voor dc Europese steenkool te beschermen het gaat er veel meer om dc toekomst voor te bereiden door op eigen terrein in Europa een basis van bevoorrading in stand te houden , die zo groot mogelijk is en die alleen zo in staat kan zijn tenminste in dc meest essentiële behoeften van Europa s expanderende economie te voorzien , aldus dc studiecommissie van dc Europese steenkoolproducenten en dc National Coal Board.",2,coal,1960s
"Het vinden van grondstoffen betekent op zich zelf nog niet , dat er ook een economische exploitatie mogelijk is . Wij zien dat nu weer gedemonstreerd aan de gang van zaken met de Beatrix . De kolen zitten daar nog maar men verwacht niet meer , dat de exploitatie ervan straks lonend zal kunnen plaatsvinden en voor een in exploitatie brengen op grond van andere nationale motieven is geen reden meer . V _ -y .",0,coal,1960s
"ren , mag verwaarlozen . Die zullen nl . nog tientallen jaren nodig zijn , mede voor produktie van de splijtstof waarmee de broeders moeten starten . Als de industrie in de gemeenschap geen rekening houdt met de te verwachten grote afzet op dit gebied , zal ze zich zelf te kort doen , zo meende hij Het Euratomcentrum te Petten zal ln het onderzoek van Euratom een belangrijke plaats krijgen al het werk in de zes landen aan reaktors met hoge temperaturen zal er worden gekoördineerd . De Nederlandse hoge-fluxreaktor voor het beproeven met materialen noemde mr. Sassen de beste proefreaktor , die op het ogenblik in de gemeenschap bestaat . De vraag wanneer kerenergie , wat de prijs betreft , zal kunnen konkurreren met energie die met behulp van kolen , olie of aardgas wordt opgewekt , zal spoedig definitief beantwoord worden . Men kan er op rekenen , aldus mr. Sassen , dat na 1970 de andere energiebronnen voor de moeilijkheid komen te staan , dat ze duurder zijn dan de kernenergie . Maar zoals gezegd blijft er voorlopig nog genoeg ruimte op de energiemarkt . Wel zal de kernenergie na 1970 de strategische rol van de eigen kolenmijnen van de gemeenschap ( d.w.z . de zekerheid van bevoorrading in geval van nood ) gaan overnemen , aangezien de opslag van kernbrandstof veel goedkoper is dan die van kolen en olie . Het kolenprobleem zal daarna alleen nog een sociaal en ekonomisch vraagstuk zijn.",1,coal,1960s
"De minister van Economische Zaken , drs . J. W. de Pons , beschikt niet over nadere gegevens over het voorkomen van aardgas in het noorden van ons land , aldus de memorie van antwoord aan de Eerste Kamer naar aanleiding van de begrotingen van de staatsmijnen en het staatsgasbedrijf . De minister is gaarne bereid te overwegen of en zo ja in hoeverre het wenselijk is de Staatsmijnen in te schakelen bü de exploitatie van dit aardgas . Met vele andere leden is de minister van mening , dat de aardgasvondsten van grote betekenis kunnen worden voor de energievoorziening van Nederland . In hoeverre dl veranderingen zal meebrengen voor de positie van het staatsgasbedrijf of van de Staatsmijnen , kan de minister thans nog niet beoordelen . HU wijst erop dat zijn beleid erop gericht is een evenwichtige ontwikkeling van deze nieuwe enegiebron te bevorderen , zodat een harmonische aanpassing aan het bestaande energieaanbod van kolen en olie tot stand kan komen- Het is de minister nog niet mogelyk een antwoord te geven op de vraag , of het de bedoeling is aardgas mede ter beschikking te stellen van de industriële grootverbruikers van kolen en olie in het noordoosten van het land . Bij de komende beslissing over de bestemming van het aardgas wordt deze mogelijkheid stellig In de overwegingen betrokken , zo deelt de minister mede . Voor zover de beschikbare gasreserves dit toelaten is de minister gaarne bereid te bevorderen , dat een eventueel in Delfzyl te stichten chemische industrie steeds zal kunnen beschikken over voldoende aardgas als grondstof om een ekonomische produktie en een verdere ontwikkeling van die produktie mogelyk te maken . Of het gewonnen aardgas ook in de toekomst aan de staat zal moeten worden aangeboden , hangt af van de voorwaarden waaronder concessie zal worden verleend voor de winning van het aardgas in het noorden des lands . Ook verklaart de minister dat hy een exploitatie door de staat niet als doel op zich zelf beschouwt . Hij gaat er echter evenmin van uit , dat de afzet van het aardgas in beginsel uitsluitend aan het partikulier initiatief zou moeten worden overgelaten . Een zekere invloed van de centrale overheid acht de minister onmisbaar , doch deze behoeft niet verder te gaan dan nodig is om de doelstellingen van het beleid te verwezenlijken . Konkrete aanbiedingen voor de levering van aardgas aan het buitenland zyn niet gedaan . De besprekingen die tot nu toe met het buitenland zyn gevoerd , hadden slechts ten doel na te gaan voor welke hoeveelheden en tegen welke pryzen in het buitenland belangstelling voor het aardgas uit Nederland bestaat- Het initiatief tot deze besprekingen was in het merendeel van de gevallen van buitenlands zyde genomen , aldus de memorie van antwoord . Export van aardgas heeft tot nu toe niet plaatsgehad , zo deelt de minister mede . Ten aanzien hiervan kan het staatsgasbedrijf dus niet over ervaring beschikken . Wel beschikt de direktie van dit bedryf over ervaring met de import van gas . Dit vereist langdurige onderhandelingen met buitenlandse gasleveranciers .",2,coal,1960s
"In dit verband dient te worden gewezen op het fundamentele verschil tussen de kolenmijnen in de Verenigde Staten en die van de landen der Gemeenschap . Daar de geologische omstandigheden volkomen verschillend zijn , loopt ook het rendement sterk uiteen . In de Verenigde Staten bedraagt het gemiddelde rendement per arbeider en per dag-meer dan 12 ton . In de mijnen met dagbouw , die een derde deel der produktie leveren , bedraagt het meer dan 22 ton , en in de ondergrondse mijnen ongeveer 10 ton . In de Gemeenschap bedraagt het gemiddelde rendement , hoewel dit snel toeneemt , ongeveer 2 ton . Het gevolg hiervan is , dat de vergelijking tussen de kosten van steenkolen en die van de andere energieprodukten in de Verenigde Staten en in Europa geheel verschillende beelden te zien geeft en dat er grote kans bestaat , dat deze toestand niet zal veranderen , aangezien in de Ver . Staten , zowel als in de Gemeenschap , n toeneming van het rendement wordt verwacht . Bovendien is van belang er de aandacht op te vestigen , dat in de Ver . Staten de energiebehoefte voor ongeveer een-kwart door kolen wordt gedekt , welk percentage in de toekomst waarschijnlijk gehandhaafd zal kunnen worden . In West-Europa , waar de Gemeenschap en het Ver . Koninkrijk tezamen 430 miljoen ton per jaar produceren , dekken de kolen nog meer dan 50 pet . van de behoeften . Er worden momenteel onderzoekingen ingesteld betreffende de toekomstige ontwikkeling van de kostenverhouding . De resultaten hiervan zullen , naast uiterst belangrijke sociale en politieke overwegingen , een voorname factor vormen voor de omschrijving van de nieuwe Algemene Doelstelling Kolen .",1,coal,1960s
"( Van een onzer verslaggevers ) Laat niemand beweren , dat de komst van het aardgas het verwarmen van de woning zoveel eenvoudiger zal maken . Integendeel , er . is een heel groot probleem bijgekomen . Het probleem van de keuze . In de eenvoudige dagen van voorheen kocht een huisvader eenvoudig een kachel , en als hij het betalen kon , een haard . Daar waren geen lange gesprekken over stralings- en convectiewarmte , over calorieën en capaciteit voor nodig . Toen kwam de oliehaard en de discussie raakte op gang , want de brandstof olie biedt geheel andere mogelijkheden dan de vaste brandstof . Vervolgens is het aardgas er bij . gekomen en de centra- . le verwarming begint in dit land eindelijk van betekenis te worden . Kortom , de keuze aan verwarmlngsmogelijkheden is zo groot geworden en de technische vragen die beantwoord moeten worden voor men zijn keus doét zijn zo talrijk , dat het voor een eenvoudige leek haast onmogelijk is een overzicht te krijgen van de mogelijkheden . Het blad Ooed Wonen heeft daar om een grote hoeveelheid verwarmingsdoeumentatie opgenomen in - zijn jongste nummer , en daaraan hebben wij een aantal opmerkingen ontleend . Soorten warmte Wat iedereen zou wensen , is een gelijkmatige verwarming van het hele huis , Zo tets is , zelfs met een- . trale verwarming , niet te bereiken omdat ramen en deuren altijd afkoeling veroorzaken . Hét ideaal is wel te benaderen , door een zo goed . mogelijk gebruik te maken van de soorten warmte die er zijn . Daar Is in de eerste plaats de - strallngswarmte , dat is de warmte Idie de verwarmingsbron rechtstreeks uitstraalt . Voorts is er de stromingswarmte , dat is de lucht , door het verwarmingsapparaat verhit , die door het vertrek stroomt . .. De meeste kachels leveren zowel het eer als het ander , maar de verhouding tussen beide verschilt en het Is van belahg om in een hoge kamer een kachel . te kiezen - met veel strallngswarmte en in een lagere . een met meer stromingswarmte . In een hoge kamer trekt de warme lucht immers naar het plafond n koelt daar onbenut weer af . Dan Is er de capaciteit van de kachel , nodig om een kamer te verwarmen . Daarvoor is een inge wikkelde berekening nodig , waar- , voor als-basis dient het oppervlak van muren , ramen , plafond en vloer en waarbij rekening wordt gehouden met het aantal ramen , het gebruik van hout , bepleisterde baksteen , stucwerk of beton . De brandstof Is de capaciteit van het verwarmingsapiaraat bepaald , dan komt de keus van de brandstof aan de orde . Vier mogelijkheden zijn er kolen , olie , gas of elektriciteit . Hoe goed de moderne kolenhaarden ook zijn , stoken met kolen geeft stof . Bovendien moet de kachel permanent aanblijven , want iedere dag aanmaken -is niet . alleen omslachtig maar ook duur . Daar staat tegenover dat stoken met kolen althans wanneer het vuur zichtbaar v ts , gezelligheid geeft . Maar kolen zijn een dure brand- stof aan het worden , vooral In die kwaliteiten die zich het meeste lenen voor gebruik In de moderne kolenconvectors . Een oliehaard heeft het voordeel dat hij naar behoeven kan worden aangestoken en uitgeschakeld . Stoken met olie geet geen stof , maar aan .de schoorsteen worden hoge eisen gesteld . Het opslaan van de brandstof wil wel eens een probleem zijn , omdat plaatselijke brandweerverordeningen bepalen hoeveel liter olie In een woning mag worden opgeslagen. De derde mogelijkheid is het aardgas , dat alle reeds bij do olie genoemde gemakken heeft en bovendien in het geheel geen opslagruimte vraagt . De aanschaf van een gashaard zal niet zoveel duurder zijn dan van een olie- of kolenhaard , maar het Installeren van het apparaat Is wel duurder vanwege de leidingen . Dan ts er ten slotte nog de elektriciteit , een uitstekende verwarmingsbron , allem veel te kostbaar om een huls permanent mee te verwarmen . Vandaar dat het elektrisch kacheltje - hoofdzakelijk wordt gebruikt als bi.verwarmlng en voor dat doel Is het uitstekend geschikt. Ruime keus Voor alle soorten warmte , capaciteiten en brandstoffen is een rulme keus van kachels in de handel . De keuze zal voor iedereen anders zijn , omdat zoveel afhangt van het huis waarin de kachel zal worden geplaatst , zo zegt Goed Wonen . Wat echter voor iedereen gelijk is , zijn de kosten . Vandaar dat we elders een tabel publiceren , overgenomen uit de Consumentengids , waarin de kosten van de verschillende soorten brandstol met elkaar worden vergeleken .",1,coal,1960s
